project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,5,1.0,false,71,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.extractor.microsoft,microsoft,880,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.16666666666666666,false,PACKAGE,1,3,0.8571428571428571,false,382,6,9.140551572416574E-4,0,PACKAGE,.,.,org.apache.tika.eval.app.reports,reports,4983,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.11764705882352941,false,PACKAGE,8,9,0.5833333333333334,false,702,17,0.005693098585610558,0,PACKAGE,.,.,org.apache.tika.detect.zip,zip,889,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,3,2,0.625,false,580,4,0.0010893407044175033,0,PACKAGE,.,.,org.apache.tika.parser.mailcommons,mailcommons,25489,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,1.0,false,0,0,8.684221256323139E-4,0,PACKAGE,.,.,com.google.protobuf,protobuf,9109,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,282,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.geoinfo,geoinfo,25497,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,11,0.9523809523809523,false,378,2,9.214104896498397E-4,0,PACKAGE,.,.,org.apache.tika.gui,gui,9116,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,10,1.0,false,367,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.mp4,mp4,25513,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,2,0.75,false,282,3,9.700261874662115E-4,0,PACKAGE,.,.,org.apache.tika.parser.microsoft.msg,msg,21440,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.75,false,PACKAGE,33,4,0.109375,false,69,8,0.005542727431376627,0,PACKAGE,.,.,org.apache.tika.pipes.api.emitter,emitter,9187,container
